years,el salvador
1991-01-01,7.53000020980835
1992-01-01,7.88000011444092
1993-01-01,9.9399995803833
1994-01-01,7.67999982833862
1995-01-01,7.65000009536743
1996-01-01,7.67999982833862
1997-01-01,7.98000001907349
1998-01-01,7.09999990463257
1999-01-01,7.30000019073486
2000-01-01,6.96000003814697
2001-01-01,6.96000003814697
2002-01-01,6.19999980926514
2003-01-01,6.90000009536743
2004-01-01,6.80000019073486
2005-01-01,7.21999979019165
2006-01-01,6.57000017166138
2007-01-01,6.40999984741211
2008-01-01,5.88000011444092
2009-01-01,7.32999992370605
2010-01-01,4.8899998664856
2011-01-01,4.30000019073486
2012-01-01,3.83999991416931
2013-01-01,3.69000005722046
2014-01-01,4.15000009536743
2015-01-01,4.0
2016-01-01,4.42000007629395
2017-01-01,4.3899998664856
2018-01-01,4.01000022888184
2019-01-01,4.17000007629395
2020-01-01,5.01999998092651
2021-01-01,4.34999990463257
